Optimal_Cost,Week_1,Week_2,Week_3,Week_4
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319857.2071063729,7968.0,9902.0,1519.0,5308.0
319492.6918856759,7274.0,9184.0,2608.0,5142.0
318904.4893251703,7065.0,8500.0,3415.0,5718.0
318114.3078040089,6856.0,7816.0,4222.0,6294.0
317330.5658923689,6647.0,7132.0,5029.0,6870.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317330.5658923689,6438.0,6448.0,5836.0,7446.0
317163.71477551677,7157.0,6870.0,5082.0,6943.0
316901.3880246202,7667.0,6608.0,5135.0,7016.0
316554.129358473,8177.0,6346.0,5188.0,7089.0
316523.0383289372,8687.0,6084.0,5241.0,7162.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,9197.0,5822.0,5294.0,7235.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8936.0,6231.0,5766.0,6209.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8943.0,5883.0,5587.0,7467.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
316523.0383289372,8698.0,6661.0,5080.0,8082.0
315501.351890962,8624.0,5481.0,4824.0,7050.0
315098.7685635005,8561.0,4878.0,4407.0,6938.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8498.0,4275.0,3990.0,6826.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8904.0,4963.0,4214.0,6410.0
315098.7685635005,8433.0,5781.0,4735.0,6980.0
315098.7685635005,8433.0,5781.0,4735.0,6980.0
315098.7685635005,8433.0,5781.0,4735.0,6980.0
